,Os01g0588900
Os07g0289050,0.9952510176390773
Os01g0734600,0.9952510176390773
Os03g0729000,0.9952510176390773
Os01g0965900,0.9951831750339213
Os03g0667100,0.9951831750339213
Os05g0527200,0.9951424694708276
Os02g0130100,0.9951153324287653
Os01g0221400,0.9950881953867029
Os03g0659266,0.9950474898236092
Os07g0561500,0.9950474898236092
Os03g0192500,0.9950067842605156
Os02g0668100,0.9949389416553596
Os03g0229500,0.9949389416553596
Os12g0190000,0.9949389416553596
Os12g0168700,0.9949389416553596
Os01g0136450,0.9948710990502035
Os05g0496100,0.9948439620081411
Os01g0558100,0.9948032564450475
Os04g0638100,0.9948032564450475
ENSRNA049466512,0.9947625508819539
Os07g0552400,0.9947218453188602
Os05g0304501,0.9947218453188602
Os04g0482900,0.9946675712347354
Os03g0169600,0.9946675712347354
Os03g0655400,0.9946268656716418
Os09g0550500,0.9945861601085482
Os12g0271700,0.9945861601085482
Os02g0475500,0.9945318860244233
Os11g0635500,0.9945318860244233
ENSRNA050013653,0.9944911804613297
Os01g0571166,0.9944504748982361
Os02g0608801,0.9944504748982361
Os01g0885900,0.9943962008141113
Os01g0338600,0.9943962008141113
ENSRNA049466614,0.9943554952510176
ENSRNA049443980,0.9943283582089553
Os03g0807900,0.9943012211668928
Os05g0419200,0.9942740841248304
Os11g0592350,0.9942333785617368
Os01g0356400,0.9942333785617368
Os01g0716800,0.9941655359565807
Os04g0539000,0.9941655359565807
Os12g0145150,0.9941655359565807
Os12g0144200,0.9941112618724559
ENSRNA049466696,0.9940841248303934
Os11g0120100,0.9940569877883311
Os02g0657700,0.9940027137042062
Os02g0248300,0.9940027137042062
Os01g0117200,0.9940027137042062
Os07g0614700,0.9939484396200814
CAA33959,0.9939077340569877
Os03g0375200,0.9939077340569877
CAA34003,0.993853459972863
Os03g0731900,0.993853459972863
Os02g0724850,0.9938127544097693
CAA33909,0.9937584803256445
Os07g0614000,0.9937584803256445
Os09g0460700,0.9937584803256445
Os10g0541000,0.9937042062415197
ENSRNA049476535,0.9936770691994573
Os03g0851200,0.9936499321573948
Os02g0678200,0.9936092265943012
ENSRNA050013654,0.9936092265943012
CAA34010,0.9935413839891452
Os01g0603300,0.9935413839891452
Os10g0567000,0.9935413839891452
Os02g0608000,0.9934735413839891
Os03g0757100,0.9934735413839891
Os06g0491566,0.9933921302578019
Os03g0607500,0.9933921302578019
Os01g0581400,0.9933921302578019
Os11g0703100,0.9933921302578019
Os10g0140300,0.9933242876526459
Os05g0586300,0.9932835820895523
Os07g0232800,0.9932835820895523
CAA34005,0.9932293080054274
