"","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"1756","SRR26819935","2023-11-14 09:57:57","2023-11-14 07:53:46",24957540,7487262000,24957540,300,2276,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26819/SRR26819935/SRR26819935.lite.1","SRX22516660","Mphy5-2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19528425","SAMN38241834","simple",3197,"Marchantia polymorpha","Mphy5 mutant 2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750382",NA,"public","E77A59E79402CD8DF6AF0FEF6C14313B","88419561BAC7E56877D981A21ED39B7F"
"1755","SRR26819936","2023-11-14 09:57:57","2023-11-14 07:53:40",24618284,7385485200,24618284,300,2252,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26819/SRR26819936/SRR26819936.lite.1","SRX22516659","Mphy5-1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19528424","SAMN38241833","simple",3197,"Marchantia polymorpha","Mphy5 mutant 1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750382",NA,"public","2EA1281D89D1EDBE88E14524A9C306F3","1EFEC3D931D9FB71C4B645E9E366C2D3"
"1749","SRR26819937","2023-11-14 09:57:57","2023-11-14 07:55:53",35155238,10546571400,35155238,300,3193,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26819/SRR26819937/SRR26819937.lite.1","SRX22516658","Mpgata4-3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19528423","SAMN38241832","simple",3197,"Marchantia polymorpha","Mpgata4 mutant 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750382",NA,"public","E96A9CBB6741DF689ED30C1061D7B327","EFD8A30E07B6613B59104B7BDC425A2A"
"1748","SRR26819938","2023-11-14 09:57:57","2023-11-14 07:59:00",34215062,10264518600,34215062,300,3077,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26819/SRR26819938/SRR26819938.lite.1","SRX22516657","Mpgata4-2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19528422","SAMN38241831","simple",3197,"Marchantia polymorpha","Mpgata4 mutant 2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750382",NA,"public","19A20AAC379C0FBDD985A6D343B5D0E8","FF4EBBE143B3869DD728EFC7DF10D8AA"
"1747","SRR26819939","2023-11-14 09:57:57","2023-11-14 07:59:23",34630856,10389256800,34630856,300,3139,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26819/SRR26819939/SRR26819939.lite.1","SRX22516656","Mpgata4-1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19528421","SAMN38241830","simple",3197,"Marchantia polymorpha","Mpgata4 mutant 1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750382",NA,"public","5355A998A10B658EF812A9B2B53CA2D3","33D79D2B352A2692BBB89422223160EC"
"1721","SRR26802390","2023-11-13 05:27:49","2023-11-13 05:20:18",24514249,7354274700,24514249,300,2571,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26802/SRR26802390/SRR26802390.lite.1","SRX22499659","Control 3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19512478","SAMN38222698","simple",3197,"Marchantia polymorpha","Control for mutant B3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749263",NA,"public","74357DE45116F2C6088C40F96FCAEC24","5D24D462AE8788222B498F42D1596221"
"1743","SRR26801906","2023-11-13 04:30:07","2023-11-13 04:26:40",29157590,8747277000,29157590,300,2648,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26801/SRR26801906/SRR26801906.lite.1","SRX22499180","MYB2oe3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19511999","SAMN38222633","simple",3197,"Marchantia polymorpha","MpRR-MYB2 OE 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749260",NA,"public","892C267591A5CB25EEC31A1EF91BDAC0","70C581203944B8FEFB2C9A1CC6829DDE"
"1742","SRR26801907","2023-11-13 04:30:07","2023-11-13 04:22:33",20772306,6231691800,20772306,300,1935,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26801/SRR26801907/SRR26801907.lite.1","SRX22499179","MYB2oe2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19511998","SAMN38222632","simple",3197,"Marchantia polymorpha","MpRR-MYB2 OE 2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749260",NA,"public","2D1F4FA4147B35F4B80AEBA584A24F0E","DF45AE81D2D7E1B8BA3115A44DDF58DF"
"1741","SRR26801908","2023-11-13 04:30:07","2023-11-13 04:23:08",21276556,6382966800,21276556,300,1953,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26801/SRR26801908/SRR26801908.lite.1","SRX22499178","MYB2oe1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19511997","SAMN38222631","simple",3197,"Marchantia polymorpha","MpRR-MYB2 OE 1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749260",NA,"public","162F2117F969E99F08BC888292DFAE3C","2054E4AECF90BEA18BF07923697F04A7"
"1746","SRR26801909","2023-11-13 04:30:07","2023-11-13 04:22:43",20071627,6021488100,20071627,300,1871,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26801/SRR26801909/SRR26801909.lite.1","SRX22499177","MYB5oea","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19511996","SAMN38222630","simple",3197,"Marchantia polymorpha","MpRR-MYB5 OE A",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749260",NA,"public","A70980F76F93E2279647217309C1F2CF","1D58AC42AA48C623CD28A866DBDDEAE5"
"1744","SRR26801910","2023-11-13 04:30:07","2023-11-13 04:24:09",27419360,8225808000,27419360,300,2497,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26801/SRR26801910/SRR26801910.lite.1","SRX22499176","MYB5oe10","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19511995","SAMN38222629","simple",3197,"Marchantia polymorpha","MpRR-MYB5 OE 10",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749260",NA,"public","09564DEDE47E4D11AC983CE3A7A9C0DD","76BFCCCEB15E2B80168544B9A9136DDA"
"1745","SRR26801911","2023-11-13 04:30:07","2023-11-13 04:24:11",21281244,6384373200,21281244,300,1992,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR026/26801/SRR26801911/SRR26801911.lite.1","SRX22499175","MYB5oe3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19511994","SAMN38222628","simple",3197,"Marchantia polymorpha","MpRR-MYB5 OE 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749260",NA,"public","E1E6415FDC7010FDB93A954612410E02","9144EBE5CA643045844A8D54CAB449EC"
"1732","SRR26799193","2023-11-12 20:20:49","2023-11-12 20:16:29",22047700,6614310000,22047700,300,2322,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26799/SRR26799193/SRR26799193.lite.1","SRX22496463","myb52-251","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19509434","SAMN38220488","simple",3197,"Marchantia polymorpha","Mprr-myb5,2 mut 251",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749176",NA,"public","83FC5BC54DCA70C78BB79902264194DB","324FF53A0033AB2797820340DA00A80E"
"1731","SRR26799194","2023-11-12 20:30:02","2023-11-12 20:20:27",22708687,6812606100,22708687,300,2390,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26799/SRR26799194/SRR26799194.lite.1","SRX22496462","myb52-250","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19509433","SAMN38220487","simple",3197,"Marchantia polymorpha","Mprr-myb5,2 mut 250",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749176",NA,"public","DB2A98F11E1BFF5A694DF430B74BA2A2","A6A6F6F617A06A02E1B0D8064B1EE83A"
"1738","SRR26798554","2023-11-12 17:06:11","2023-11-12 16:53:58",25588590,7676577000,25588590,300,2358,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798554/SRR26798554.lite.1","SRX22495824","GLKoe2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508796","SAMN38219834","simple",3197,"Marchantia polymorpha","MpGLK oe B",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749149",NA,"public","FC91A7BE656C2D477EF6C9265E184C64","92099C77D115061AD50270385F6E5C16"
"1737","SRR26798555","2023-11-12 16:41:18","2023-11-12 16:39:55",24715936,7414780800,24715936,300,2246,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798555/SRR26798555.lite.1","SRX22495823","GLKoe1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508795","SAMN38219833","simple",3197,"Marchantia polymorpha","MpGLK oe A",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749149",NA,"public","79A41FF1BCA88437EB1F820EA017E30A","BBC7725148D640321F531D80C0DD6CCF"
"1733","SRR26798402","2023-11-12 15:54:25","2023-11-12 15:44:46",23895084,7168525200,23895084,300,2275,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798402/SRR26798402.lite.1","SRX22495674","GLKoe4","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508645","SAMN38219831","simple",3197,"Marchantia polymorpha","Mprr-myb5,2 mut a",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749147",NA,"public","99E6981A8527A4C111C6E5FC64AA8C8C","0DF91C1430830623F53CC3248225111A"
"1720","SRR26798403","2023-11-12 15:54:25","2023-11-12 15:47:25",21347869,6404360700,21347869,300,2254,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798403/SRR26798403.lite.1","SRX22495673","GLKoe3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508646","SAMN38219830","simple",3197,"Marchantia polymorpha","Control for mutant B2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749147",NA,"public","AEFE8A46824AA49ADE71AFD360164E0D","C762085B247543A6578434B179F9CD0B"
"1719","SRR26798404","2023-11-12 16:14:36","2023-11-12 16:10:22",22654032,6796209600,22654032,300,2202,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798404/SRR26798404.lite.1","SRX22495672","GLKoe2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508644","SAMN38219829","simple",3197,"Marchantia polymorpha","Control for mutant B1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749147",NA,"public","50F0891439FF5338459A6DAA39D45B33","4983D0549418A5A9F4469DF202827B2A"
"1739","SRR26798405","2023-11-12 15:54:25","2023-11-12 15:45:25",22504559,6751367700,22504559,300,2113,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798405/SRR26798405.lite.1","SRX22495671","GLKoe1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508643","SAMN38219828","simple",3197,"Marchantia polymorpha","MpGLK oe K",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749147",NA,"public","0AF3ED64338ED2CEAFD10F5BE8717EAB","43A4B5B86376F8E6809AF95DE4560F29"
"1753","SRR26798018","2023-11-12 12:33:23","2023-11-12 12:31:04",34353967,10306190100,34353967,300,3151,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798018/SRR26798018.lite.1","SRX22495327","glkmyb5-20","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508315","SAMN38219278","simple",3197,"Marchantia polymorpha","Mpglk,rr-myb5 mut 20",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749124",NA,"public","0F7081F5F6DBAA7FE96482EC5AEF076D","4F0754D53A0DF18269D79A19CE80F158"
"1752","SRR26798019","2023-11-12 12:36:20","2023-11-12 12:32:52",41406157,12421847100,41406157,300,3660,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798019/SRR26798019.lite.1","SRX22495326","glkmyb5-11","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508316","SAMN38219277","simple",3197,"Marchantia polymorpha","Mpglk,rr-myb5 mut 11",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749124",NA,"public","44E3B9885F8EFDDEE9CF5E6629FD746F","D3A9E73093FB3946E86D91536147EB29"
"1754","SRR26798020","2023-11-12 12:32:50","2023-11-12 12:29:19",29419526,8825857800,29419526,300,2710,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26798/SRR26798020/SRR26798020.lite.1","SRX22495325","glkmyb5-3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19508314","SAMN38219276","simple",3197,"Marchantia polymorpha","Mpglk,rr-myb5 mut 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749124",NA,"public","4B41B6279BC05BCF0265955CA14AED9F","92135050B8BF0BC9D45425E87B39A602"
"1725","SRR26796765","2023-11-12 10:31:28","2023-11-12 10:06:35",21758812,6527643600,21758812,300,2015,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26796/SRR26796765/SRR26796765.lite.1","SRX22494074","myb2-263","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19507121","SAMN38217793","simple",3197,"Marchantia polymorpha","Mprr-myb2 mut 263",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1749115",NA,"public","749BEEE83E687F3477EA48B1C16EF5C6","F97989666F66A029F5A56BA29FAC136A"
