"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19334220","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731103","","222.4","1","2513290","746447130","H_JJK1933","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334219","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731102","","218.68","1","2493558","740586726","H_JJK1932","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334218","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731101","","264.38","1","3032733","900721701","C_CRYO4407","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334217","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731099","","217.11","1","2494777","740948769","C_CRYO4406","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334216","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731100","","240.54","1","2748815","816398055","C_CRYO4405","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334215","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731098","","198.72","1","2266690","673206930","C_CRYO4404","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334214","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731097","","216.12","1","2455257","729211329","C_CRYO4403","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334213","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731096","","186.7","1","2136662","634588614","C_CRYO4402","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334211","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731095","","648.68","1","7314611","2172439467","C_CRYO4401","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334210","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731093","","214.89","1","2463901","731778597","C_CRYO4400","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334209","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731092","","187.2","1","2134726","634013622","C_CRYO4399","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334208","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731091","","216.18","1","2445963","726451011","C_CRYO4398","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334207","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731090","","271.15","1","3073192","912738024","C_CRYO4397","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334206","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731089","","295.08","1","3366425","999828225","C_CRYO4395","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334205","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731088","","242.18","1","2791302","829016694","C_CRYO4394","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19334204","ddRAD seq of Anolis carolinensis, Anolis porcatus, and hybrids","Anolis carolinensis","Illumina HiSeq 4000","University of Rhode Island","SRP421894","Hybrid green anole ddRADseq data","SRS16731087","","203.19","1","2325332","690623604","C_CRYO4393","RAD-Seq","GENOMIC","Reduced Representation"
"SRX18480025","Hi-C of Anolis carolinensis DNA Zoo Sample4453","Anolis carolinensis","Illumina NovaSeq 6000","Baylor College of Medicine","SRP175152","DNA Zoo","SRS15953423","","33624.21","1","352810035","106548630570","HIC15215","Hi-C","GENOMIC","RANDOM"
"SRX15052912","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798598","","31.19","1","278744","80094704","Ac_Hor_N_2339","OTHER","GENOMIC","RANDOM"
"SRX15052911","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798597","","1552.14","1","13932399","4036983564","Ac_Liz_I__2417","OTHER","GENOMIC","RANDOM"
"SRX15052910","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798596","","47.37","1","423803","122433427","Ac_Pin_N_2649","OTHER","GENOMIC","RANDOM"
"SRX15052909","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798595","","283.89","1","2506239","724817867","Ac_Pin_N_2476","OTHER","GENOMIC","RANDOM"
"SRX15052908","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798594","","856.38","1","7734063","2234003199","Ac_Osp_N_2453","OTHER","GENOMIC","RANDOM"
"SRX15052907","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798593","","216.32","1","1933601","558469371","Ac_Nor_I__2443","OTHER","GENOMIC","RANDOM"
"SRX15052906","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798592","","632.19","1","5607409","1620302843","Ac_Hor_N_2344","OTHER","GENOMIC","RANDOM"
"SRX15052905","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798591","","95.37","1","841975","242334373","Ac_Liz_I__2416","OTHER","GENOMIC","RANDOM"
"SRX15052904","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798589","","36.22","1","324425","93369498","Ac_Pin_N_2648","OTHER","GENOMIC","RANDOM"
"SRX15052903","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798590","","42.78","1","372096","107695769","Ac_Yin_I__1451","OTHER","GENOMIC","RANDOM"
"SRX15052902","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798588","","25.86","1","231831","66875245","Ac_Yin_I__1450","OTHER","GENOMIC","RANDOM"
"SRX15052901","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798586","","1026.71","1","9228281","2673057404","Ac_Yin_I__1386","OTHER","GENOMIC","RANDOM"
"SRX15052900","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798587","","370.26","1","3359640","971288666","Ac_Yin_I__1449","OTHER","GENOMIC","RANDOM"
"SRX15052899","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798585","","383.91","1","3477873","1004942099","Ac_Yin_I__1448","OTHER","GENOMIC","RANDOM"
"SRX15052898","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798584","","449.08","1","4058536","1172545682","Ac_Yin_I__1447","OTHER","GENOMIC","RANDOM"
"SRX15052897","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798583","","24.45","1","195088","56350858","Ac_Yin_I__1446","OTHER","GENOMIC","RANDOM"
"SRX15052896","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798582","","489.46","1","4377199","1267896044","Ac_Yin_I__1445","OTHER","GENOMIC","RANDOM"
"SRX15052895","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798581","","42.07","1","377839","108858394","Ac_Cha_I__1444","OTHER","GENOMIC","RANDOM"
"SRX15052894","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798580","","5.12","1","42777","12421046","Ac_Pin_N_2475","OTHER","GENOMIC","RANDOM"
"SRX15052893","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798579","","300.77","1","2707552","783894759","Ac_Osp_N_2452","OTHER","GENOMIC","RANDOM"
"SRX15052892","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798578","","2.22","1","18542","5376543","Ac_Nor_I__2442","OTHER","GENOMIC","RANDOM"
"SRX15052891","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798576","","274.66","1","2458852","710990052","Ac_Hor_N_2343","OTHER","GENOMIC","RANDOM"
"SRX15052890","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798577","","65.45","1","518432","150053904","Ac_Yin_I__1385","OTHER","GENOMIC","RANDOM"
"SRX15052889","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798575","","505.61","1","4557315","1316661177","Ac_Yan_I__2468","OTHER","GENOMIC","RANDOM"
"SRX15052888","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798574","","30.94","1","275939","79676579","Ac_Liz_I__2415","OTHER","GENOMIC","RANDOM"
"SRX15052887","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798573","","202.46","1","1826864","527162517","Ac_Pin_N_2647","OTHER","GENOMIC","RANDOM"
"SRX15052886","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12800927","","298.27","1","2677995","773062966","Ac_Pin_N_2474","OTHER","GENOMIC","RANDOM"
"SRX15052885","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798572","","75.24","1","659657","190785675","Ac_Cha_I__1443","OTHER","GENOMIC","RANDOM"
"SRX15052884","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798571","","154.79","1","1363315","394746189","Ac_Cha_I__1442","OTHER","GENOMIC","RANDOM"
"SRX15052883","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798570","","753.33","1","6798277","1969166086","Ac_Cha_I__1441","OTHER","GENOMIC","RANDOM"
"SRX15052882","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798569","","501.03","1","4392964","1267992188","Ac_Cha_I__1440","OTHER","GENOMIC","RANDOM"
"SRX15052880","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798567","","956.71","1","8628516","2498373128","Ac_Yin_I__1412","OTHER","GENOMIC","RANDOM"
"SRX15052879","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798565","","531.05","1","4782468","1386752253","Ac_Yin_I__1411","OTHER","GENOMIC","RANDOM"
"SRX15052878","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798566","","0.74","1","6082","1758159","Ac_Yin_I__1349","OTHER","GENOMIC","RANDOM"
"SRX15052877","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798564","","68.68","1","615952","177711992","Ac_Yan_I__1395","OTHER","GENOMIC","RANDOM"
"SRX15052876","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798563","","338.12","1","3066334","883913957","Ac_Yin_I__1389","OTHER","GENOMIC","RANDOM"
"SRX15052875","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798561","","1.63","1","13808","4006373","Ac_Yan_I__2454","OTHER","GENOMIC","RANDOM"
"SRX15052874","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798562","","462.55","1","4195441","1207801983","Ac_Cha_I__2441","OTHER","GENOMIC","RANDOM"
"SRX15052873","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798560","","447.94","1","4031187","1160465752","Ac_Pin_N_2491","OTHER","GENOMIC","RANDOM"
"SRX15052872","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798559","","206.28","1","1866200","539371358","Ac_Osp_N_2564","OTHER","GENOMIC","RANDOM"
"SRX15052871","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798557","","4.35","1","37778","10986153","Ac_Nor_I__2382","OTHER","GENOMIC","RANDOM"
"SRX15052870","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798558","","5.59","1","48547","14071863","Ac_Yan_I__2379","OTHER","GENOMIC","RANDOM"
"SRX15052869","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798556","","241.63","1","2192723","632631510","Ac_Cha_I__2440","OTHER","GENOMIC","RANDOM"
"SRX15052868","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798555","","235.92","1","2149857","619002595","Ac_Pin_N_2490","OTHER","GENOMIC","RANDOM"
"SRX15052867","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798553","","253.83","1","2309102","667931964","Ac_Osp_N_2563","OTHER","GENOMIC","RANDOM"
"SRX15052866","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798554","","302.05","1","2737712","792867206","Ac_Osp_N_2348","OTHER","GENOMIC","RANDOM"
"SRX15052865","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798552","","33.75","1","272455","78691871","Ac_Yin_I__1388","OTHER","GENOMIC","RANDOM"
"SRX15052864","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798551","","157.36","1","1376373","399134438","Ac_Nor_I__2356","OTHER","GENOMIC","RANDOM"
"SRX15052863","Genotyping by sequencing of Anoles","Anolis carolinensis","Illumina HiSeq 4000","University of Miami","SRP372886","CONVERGENCE OR REDUNDANCY: ALTERNATIVE VIEWS ABOUT THE EVOLUTIONARY GENOMICS OF CHARACTER DISPLACEMENT","SRS12798549","","13.6","1","121969","35004190","Ac_Osp_N_2349","OTHER","GENOMIC","RANDOM"
