"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX6190927","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483534","","1562.33","1","16522602","4163695704","LG3.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190988","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483595","","1647.12","1","17117276","4313553552","OE12.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190946","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483553","","2126.57","1","21186916","5339102832","WT5.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190928","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483535","","1801.36","1","17634783","4443965316","LG3.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190954","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483561","","1588.67","1","16456407","4147014564","D5.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190963","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483570","","2844.39","1","25536563","6435213876","LO9.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190955","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483562","","1427","1","15210615","3833074980","D9.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190965","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483572","","3224","1","28791931","7255566612","OE9.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190949","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483556","","1339.56","1","13809813","3480072876","D3.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190974","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483581","","1978.29","1","19700598","4964550696","D14.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190967","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483574","","2060.58","1","21178173","5336899596","WT9.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190926","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483533","","1736.7","1","17790047","4483091844","LG3.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190958","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483565","","3045.74","1","26422768","6658537536","LG9.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190964","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483571","","1795.9","1","18565987","4678628724","OE9.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190931","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483538","","3232.3","1","27968001","7047936252","LG5.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190982","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483589","","3254.26","1","29199902","7358375304","LO12.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190950","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483557","","1334.28","1","13897969","3502288188","D3.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190994","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483601","","1988.5","1","19668522","4956467544","WT12.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190970","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483577","","3084.88","1","27258525","6869148300","D12.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
